ID,留言编号,留言用户,留言主题,留言时间,留言详情,反对数,点赞数
0,190966,A00082863,请清理A市人民西路137号人行道附近的僵尸车,2019/12/27 10:20,人民西路137号人行道附近紧紧挨着停了二十台左右的小车其中有八九台外地车停的时间长的约有半年了已成僵尸车这些车有上海的C市的F市的都有城管贴的黄色罚款纸条标明罚款一百元让人不解的是既然不能停于此处为何停了几个月都无人处理是不是其中有什么猫腻或有什么利益关系但至少可以认为有关职能部门存在不作为现象希望有关部门负起责任尽快处理,0,0
0,192749,A00077503,A3区望月湖麓山国际门口奶茶店涉及无证经营半年之久,2019/9/6 17:37,尊敬的领导你们好在望月湖麓山国际门口有一家益禾堂的奶茶店涉及无证经营半年之久为和无人取缔执法部门为何不去查处每天那么多学生经过无任何证件一但发生食品安全问题就是大问题食品安全无小事请领导立即派人查处这家店还麓山国际八千多师生一个美好的明天,0,0
0,199259,A0006585,A1区兴和社区火星街道居民建言后信息被泄露，遭人打击,2019/10/21 8:00,尊敬的胡华衡书记就昨天为城管因为我的一个建言把我所有信息告诉他们城管认为需要整改的人所产生的后遗症昨天需要整改的那人的妈妈莫名其妙的打了我一巴掌兴和社区火星街道A1区知道是什么我昨天会挨一巴掌今天本来约好去火星城管队的但是我老公身体不好经常要跟着他而我老公一般上午没事情做所以每天我就会利用上午的时间吃自己的药我治病的药必须空腹吃并且吃了以后反应很大吃了好几个小时才能过药效期所以不能去城管队昨天没有想到我要吃药时我准备今天去邀请媒体去的因此麻烦要城管队长到兴和社区A区花园或者到我家好吗其实昨天我莫名其妙突然被打一巴掌兴和社区火星镇A1区知道是为什么难道兴和社区火星镇A1区真的是老虎屁股摸不得我昨天上午发一个视频提意见说兴和社区不见垃圾桶他们就是这样处理报复心就这么重,0,0
0,202222,A00030736,A市南楚古街有很多消防逃生门被锁住,2019/1/25 17:38,A市南楚古街有很多消防逃生门都被安装了栓子并上了挂锁锁住一旦发生火灾或者出现其他意外情况将无法及时逃生,0,1
0,202556,A00041477,A市大学城学生宿舍门口黑摩的揽客阻碍交通,2019/5/7 17:33,学生宿舍公寓门口有黑摩的揽客阻碍交通并且发生过强行揽客的举动摩的并无提供安全帽等安全设施在校园内横冲直撞非常危险希望有关部门整治,0,0
0,206176,A00075854,西地省人民医院的停车费贵的太离谱,2019/3/23 18:21,西地省人民医院停车一天24小时收费50这样高的停车费还是第一次遇见近日到省人民医院是因为老父亲得了肿瘤全家人急得像热锅上的蚂蚁团团转高额的手术治疗费用已经让我们这个工薪普通家庭深感压力而每天的吃饭住院日常开支也是一笔不小费用而每天的日常开支里停车费竟占了一个大头老公和父亲两个人在医院一日三餐省着点也才吃了五六十这个停车费收得实在是太高了况且像我们这种情况检查加手术加术后治疗前前后后最少十多天情况如果不好还不一定要住多久这个车实在停不起,0,4
0,211113,A00072345,反映A市汽车西站管理乱象,2019/1/25 13:00,在A市汽车西站买了一张一点的汽车票却因为车站乱发车现象过了一点都还没有上车车站也没有任何通知说一点的票要一点半坐车西站的管理乱象已经不是一天两天的事情了到现在没有任何有效的管理真诚希望相关领导能处理好这种车站乱象保护人民的合法权益,0,0
0,211218,A0006585,A市火星镇熊孩子引燃“僵尸车”有感,2019/3/16 20:50,刚才看到熊孩子引燃僵尸车让人感慨万千啊为什么单单每次僵尸车出事都是火星镇为什么总是没有引起镇政府的重视火星一片可就在火星镇政府旁边啊难道镇镇政府的每一个人都是眼盲还是说火星镇的所有干部懒政庸政不作为为什么火星镇到处都是僵尸车,0,0
0,212300,A00034418,A4区四方坪教师村一栋中门上楼处电线乱象丛生,2019/4/2 15:33,四方坪教师村一栋中门上楼处电线乱象丛生真担心引起什么事故请尽快实地查看整改以免造成事故,0,0
0,213906,A00072111,A7县星沙广泰家园起火，安全隐患非常大,2019/6/4 20:49,星沙广泰家园一饭店因厨房起火保安扑救及时才扑灭该栋每个门店有几个煤气罐安全隐患非常大事件反馈到多部门相互推诿无人解决请上级领导给与支持解决,0,0
